Team,Matches,Goals,GoalsAgainst,Attempts,Assists,Corners,Offsides,Fouls,YellowCards,Saves
Mexico,5,10,3,70,7,19,5,55,4,7
South Africa,4,2,4,39,1,11,8,33,5,13
Korea Republic,3,2,3,32,2,12,8,21,4,11
Czechia,3,2,6,34,2,15,5,36,1,8
Canada,5,9,6,81,3,50,7,63,11,5
Bosnia and Herzegovina,4,5,8,37,3,15,2,53,8,9
USA,5,11,8,59,4,26,11,51,7,7
Paraguay,5,3,6,35,3,10,5,57,13,21
Qatar,3,2,10,17,1,9,4,31,4,10
Switzerland,6,10,6,74,6,28,13,82,7,15
Brazil,5,10,4,73,8,27,11,43,8,12
Morocco,6,10,6,69,9,30,9,68,7,20
Haiti,3,2,8,31,1,9,7,50,7,12
Scotland,3,1,4,29,0,12,2,37,5,9
Australia,4,3,3,42,1,16,1,43,5,8
Türkiye,3,3,5,70,2,22,7,29,3,6
Germany,4,11,5,74,10,34,4,48,5,9
Curaçao,3,1,9,29,0,5,5,26,7,15
Netherlands,4,11,5,46,10,18,8,41,3,14
Japan,4,8,5,33,7,13,4,51,4,13
Côte d'Ivoire,4,5,4,45,4,26,4,25,4,11
Ecuador,4,2,4,53,2,25,2,42,8,10
Sweden,4,7,10,48,6,18,9,38,5,14
Tunisia,3,2,12,18,2,9,9,27,1,3
Spain,8,14,1,140,10,54,21,95,6,8
Cabo Verde,4,4,5,49,2,17,7,23,5,12
Belgium,6,14,7,112,10,24,8,71,7,17
Egypt,5,8,7,67,8,26,4,50,15,20
Saudi Arabia,3,1,5,17,0,7,3,24,6,11
Uruguay,3,3,4,49,1,26,14,26,5,3
IR Iran,3,3,3,37,1,8,9,29,6,11
New Zealand,3,4,10,31,3,10,4,28,4,11
France,8,20,10,139,18,51,14,79,6,12
Senegal,4,10,9,69,9,22,10,33,3,13
Iraq,3,1,12,21,1,7,1,23,4,12
Norway,6,13,11,65,10,29,5,56,3,22
Argentina,8,19,8,115,12,41,22,103,15,22
Algeria,4,5,9,44,3,14,4,26,3,15
Austria,4,6,9,32,4,10,11,44,5,11
Jordan,3,3,8,24,3,6,3,27,4,11
Portugal,5,8,3,62,4,22,10,37,7,16
Congo DR,4,5,5,41,3,13,9,38,6,15
England,8,20,12,118,14,40,15,77,8,29
Croatia,4,6,7,37,5,12,8,41,4,11
Ghana,4,2,3,24,1,8,8,51,6,11
Panama,3,0,4,32,0,12,6,41,5,10
Uzbekistan,3,2,11,18,1,9,3,41,4,7
Colombia,5,5,1,94,5,24,19,63,9,6
